Contacts,USD,EUR,GBP,INR,CAD,AUD,BRL,JPY,MXN,SGD
500,4.99,4.99,3.99,449,6.99,7.99,29.99,749,99.99,6.99
2.5k,15.99,14.99,12.49,1349,21.99,24.99,99.99,2499,299,20.99
5k,29.99,29.99,24.99,2499,41.99,46.99,179.99,4499,599,39.99
10k,29.99,29.99,24.99,2499,41.99,46.99,179.99,4499,599,39.99
20k,49.99,49.99,39.99,4199,69.99,77.99,299.99,7499,999,66.99
30k,69.99,69.99,54.99,5899,99.99,109.99,429.99,10499,1399,93.99
40k,89.99,89.99,70.99,7599,127.99,140.99,549.99,13499,1799,120.99
50k,109.99,109.99,86.99,9299,156.99,172.99,669.99,16499,2199,147.99
100k,209.99,209.99,164.99,17699,299.99,329.99,1279,31499,4199,280.99
